PERMIT_TYPE	WDID	APP_ID	REPORTING_YEAR	REPORT_ID	EVENT_TYPE	MONITORING_LOCATION_NAME	MONITORING_LOCATION_TYPE	MONITOR_LOCATION_DESCRIPTION	MONITORING_LATITUDE	MONITORING_LONGITUDE	SAMPLE_ID	SAMPLE_DATE	SAMPLE_TIME	DISCHARGE_START_DATE	DISCHARGE_START_TIME	PARAMETER	RESULT_QUALIFIER	RESULT	UNITS	ANALYTICAL_METHOD	MDL	RL	DISCHARGE_END_DATE	DISCHARGE_END_TIME	CERTIFIER_NAME	CERTIFIED_DATE
Industrial	1 08I004046	178203	2016	918881	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2243002	12/29/2016	12:00	12/29/2016	08:00	pH	=	6.5	SU	A4500HB	1				Joel Wallen	02-AUG-17 08.03.32.748000 AM
Industrial	1 08I004046	178203	2016	918881	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2243002	12/29/2016	12:00	12/29/2016	08:00	Oil and Grease	=	1.3	mg/L	E1664B	.98				Joel Wallen	02-AUG-17 08.03.32.748000 AM
Industrial	1 08I004046	178203	2016	918881	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2243002	12/29/2016	12:00	12/29/2016	08:00	Total Suspended Solids (TSS)	=	5.2	mg/L	A2540D	1				Joel Wallen	02-AUG-17 08.03.32.748000 AM
Industrial	1 08I004046	178203	2016	918881	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2242997	10/17/2016	11:00	10/17/2016	08:00	Total Suspended Solids (TSS)	=	11	mg/L	A2540D	1				Joel Wallen	02-AUG-17 08.03.32.748000 AM
Industrial	1 08I004046	178203	2016	918881	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2242997	10/17/2016	11:00	10/17/2016	08:00	pH	=	6	SU	A4500HB	1				Joel Wallen	02-AUG-17 08.03.32.748000 AM
Industrial	1 08I004046	178203	2016	918881	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2242997	10/17/2016	11:00	10/17/2016	08:00	Oil and Grease	ND		mg/L	E1664B	.94				Joel Wallen	02-AUG-17 08.03.32.748000 AM
Industrial	1 08I004046	178203	2016	918881	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2242997	10/17/2016	11:00	10/17/2016	08:00	Zinc, Total	=	.0057	mg/L	E200.7	1				Joel Wallen	02-AUG-17 08.03.32.748000 AM
Industrial	1 08I004046	178203	2016	918881	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2242997	10/17/2016	11:00	10/17/2016	08:00	Lead, Total	ND		mg/L	E200.7	1				Joel Wallen	02-AUG-17 08.03.32.748000 AM
Industrial	1 08I004046	178203	2016	918881	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2243002	12/29/2016	12:00	12/29/2016	08:00	Lead, Total	ND		mg/L	E200.7	1				Joel Wallen	02-AUG-17 08.03.32.748000 AM
Industrial	1 08I004046	178203	2016	918881	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2243002	12/29/2016	12:00	12/29/2016	08:00	Zinc, Total	=	.006	mg/L	E200.7	1				Joel Wallen	02-AUG-17 08.03.32.748000 AM
Industrial	1 08I004046	178203	2016	932324	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2278279	04/11/2017	07:30	04/10/2017	20:00	pH	=	6.3	SU	A4500HB	9				Joel Wallen	02-AUG-17 08.02.55.013000 AM
Industrial	1 08I004046	178203	2016	932324	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2278279	04/11/2017	07:30	04/10/2017	20:00	Zinc, Total	=	.0032	mg/L	E200.7	.37	5			Joel Wallen	02-AUG-17 08.02.55.013000 AM
Industrial	1 08I004046	178203	2016	932324	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2278279	04/11/2017	07:30	04/10/2017	20:00	Lead, Total	ND		mg/L	E200.7	2.2	5			Joel Wallen	02-AUG-17 08.02.55.013000 AM
Industrial	1 08I004046	178203	2016	932324	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2278279	04/11/2017	07:30	04/10/2017	20:00	Total Suspended Solids (TSS)	=	1.6	mg/L	A2540D	.6	1			Joel Wallen	02-AUG-17 08.02.55.013000 AM
Industrial	1 08I004046	178203	2016	932324	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2278279	04/11/2017	07:30	04/10/2017	20:00	Oil and Grease	ND		mg/L	E1664B	.93	5.1			Joel Wallen	02-AUG-17 08.02.55.013000 AM
Industrial	1 08I004046	178203	2016	935935	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2289783	06/09/2017	07:30	06/07/2017	18:00	Oil and Grease	ND		mg/L	E1664B	.93	5			Joel Wallen	02-AUG-17 08.02.00.354000 AM
Industrial	1 08I004046	178203	2016	935935	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2289783	06/09/2017	07:30	06/07/2017	18:00	pH	=	6.4	SU	pH_Paper	6.4	8.4			Joel Wallen	02-AUG-17 08.02.00.354000 AM
Industrial	1 08I004046	178203	2016	935935	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2289783	06/09/2017	07:30	06/07/2017	18:00	Lead, Total	ND		mg/L	E200.7	2.2	5			Joel Wallen	02-AUG-17 08.02.00.354000 AM
Industrial	1 08I004046	178203	2016	935935	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2289783	06/09/2017	07:30	06/07/2017	18:00	Zinc, Total	=	.0048	mg/L	E200.7	.37	5			Joel Wallen	02-AUG-17 08.02.00.354000 AM
Industrial	1 08I004046	178203	2016	935935	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2289783	06/09/2017	07:30	06/07/2017	18:00	Total Suspended Solids (TSS)	=	5.6	mg/L	A2540D	.6	1			Joel Wallen	02-AUG-17 08.02.00.354000 AM
Industrial	1 08I004046	178203	2017	977380	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2327628	11/16/2017	09:00	11/16/2017	07:00	Lead, Total	ND		mg/L	E200.7	2.2	5			Joel Wallen	05-MAR-18 05.19.37.799000 PM
Industrial	1 08I004046	178203	2017	977380	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2327628	11/16/2017	09:00	11/16/2017	07:00	Zinc, Total	=	.0054	mg/L	E200.7	.37	5			Joel Wallen	05-MAR-18 05.19.37.799000 PM
Industrial	1 08I004046	178203	2017	977380	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2327628	11/16/2017	09:00	11/16/2017	07:00	Total Suspended Solids (TSS)	=	1.2	mg/L	A2540D	.6	1			Joel Wallen	05-MAR-18 05.19.37.799000 PM
Industrial	1 08I004046	178203	2017	977380	Qualifying Storm Event	CL-1	Effluent Monitoring		41.746537	-124.17697	2327628	11/16/2017	09:00	11/16/2017	07:00	pH	=	6	SU	pH_Paper	14	14			Joel Wallen	05-MAR-18 05.19.37.799000 PM
