PERMIT_TYPE	APP_ID	WDID	STATUS	NOI_PROCESSED_DATE	NOT_EFFECTIVE_DATE	REGION_BOARD	COUNTY	OPERATOR_NAME	FACILITY_NAME	FACILITY_ADDRESS	FACILITY_ADDRESS_2	FACILITY_CITY	FACILITY_STATE	FACILITY_ZIP	FACILITY_LATITUDE	FACILITY_LONGITUDE	FACILITY_COUNTY	FACILITY_CONTACT_FIRST_NAME	FACILITY_CONTACT_LAST_NAME	FACILITY_TITLE	FACILITY_PHONE	FACILITY_EMAIL	FACILITY_TOTAL_SIZE	FACILITY_TOTAL_SIZE_UNIT	FACILITY_AREA_ACTIVITY	FACILITY_AREA_ACTIVITY_UNIT	PERCENT_OF_SITE_IMPERVIOUSNESS	PRIMARY_SIC	SECONDARY_SIC	TERTIARY_SIC	RECEIVING_WATER_NAME	INDIRECTLY	DIRECTLY	CERTIFIER_BY	CERTIFIER_TITLE	CERTIFICATION_DATE	QUESTION_TMDL_ANSWER
Industrial	178202	1 08I001442	Terminated	03/27/1992	02/23/2015	1	Del Norte	Del Norte Solid Waste Management Authority	Crescent City Landfill 	End Of Hights Access Road		Crescent City	CA	95531	41.795542	-124.217723	Del Norte	Tedd	Ward		707-954-3351	tedd@recycledelnorte.ca.gov	160	Acres		 		4953-Refuse Systems			wetlands south of Old Mill Road flowing towards Lake Earl Coastal Lagoon	N	N	Tedd Ward		13-JUN-12 09.24.22.060000 AM	 
Industrial	178203	1 08I004046	Active	04/03/1992		1	Del Norte	Hambro Forest Product Inc	Hambro Forest Products	445 Elk Valley Rd	PO Box 129	Crescent City	CA	95531	41.753659	-124.177645	Del Norte	Joel	Wallen	GM	707-464-6131	joel.wallen@hambrowsg.com	47.4	Acres	47.4	Acres	15	4212-Local Trucking Without Storage			Pacific Ocean	Y	N	Joel Wallen	Mr	06-FEB-15 03.58.01.815000 PM	 
Industrial	178203	1 08I004046	Active	04/03/1992		1	Del Norte	Hambro Forest Product Inc	Hambro Forest Products	445 Elk Valley Rd	PO Box 129	Crescent City	CA	95531	41.753659	-124.177645	Del Norte	Joel	Wallen	GM	707-464-6131	joel.wallen@hambrowsg.com	47.4	Acres	47.4	Acres	15	4212-Local Trucking Without Storage			Pacific Ocean	Y	N	Joel Wallen	Mr	06-FEB-15 03.58.01.815000 PM	 
Industrial	178203	1 08I004046	Terminated	04/03/1992		1	Del Norte	Hambro Forest Product Inc	Hambro Forest Products	445 Elk Valley Rd	PO Box 129	Crescent City	CA	95531	41.753659	-124.177645	Del Norte	Joel	Wallen	GM	707-464-6131	joel.wallen@hambrowsg.com	47.4	Acres	47.4	Acres	15	4212-Local Trucking Without Storage			Pacific Ocean	Y	N	Joel Wallen	Mr	06-FEB-15 03.58.01.815000 PM	 
Industrial	178203	1 08I004046	Active	04/03/1992		1	Del Norte	Hambro Forest Product Inc	Hambro Forest Products	445 Elk Valley Rd	PO Box 129	Crescent City	CA	95531	41.753659	-124.177645	Del Norte	Joel	Wallen	GM	707-464-6131	joel.wallen@hambrowsg.com	47.4	Acres	47.4	Acres	15	4212-Local Trucking Without Storage			Pacific Ocean	Y	N	Joel Wallen	Mr	06-FEB-15 03.58.01.815000 PM	 
Industrial	178204	1 08I015378	Terminated	09/20/1999	04/19/2025	1	Del Norte	Bruce Gates	A 1 Auto Wreckers 	1100 Mcnamara Rd		Crescent City	CA	95531	41.767146	-124.187834	Del Norte	bruce	gates	owner	707-218-1522	brucegates4167@icloud.com	4	Acres	4	Acres	10	5015-Motor Vehicle Parts, Used			Elk Creek	Y	N	bruce gates	owner	09-DEC-15 10.14.52.827000 AM	 
Industrial	178205	1 08I017295	Active	06/11/2002		1	Del Norte	Green Diamond Resource Company	Klamath Log Yard	200 Klamath Mill Rd		Klamath	CA	95548	41.531948	-124.04082	Del Norte	Theresa	 Taylor	Environmental Administrator	707-668-3782	Theresa.Taylor@greendiamond.com	10	Acres	10	Acres		2411-Logging			Hoppa Creek	Y	N	Colin Campbell	Log Sales and Chip Facility Manager	16-AUG-22 10.10.44.476000 AM	 
Industrial	178206	1 08I017635	Terminated	11/18/2002	09/28/2011	1	Del Norte	Granite Construction Co - Ukiah	Granite Const Co Crescent City	7340 North Bank Rd		Crescent City	CA	95531	41.844249	-124.12069	Del Norte	Jordan	Main		707-464-4501	jordan.main@gcinc.com	8	Acres		 	0	1442-Construction Sand and Gravel	2951-Asphalt Paving Mixtures and Blocks		Smith River						 
Industrial	178207	1 08I018290	Terminated	08/06/2003	08/29/2006	1	Del Norte	Crager, Dewey 	Crager, Dewey 	1681 Parkway Dr		Crescent City	CA	95531	41.776632	-124.178814	Del Norte	DEWEY	Crager	Owner	7074646873		2	Acres		 		5093-Scrap and Waste Materials				Y					 
Industrial	178208	1 08I018327	Active	09/05/2003		1	Del Norte	C Renner Petroleum Inc	C Renner Petroleum	255 State Hwy 101 South	680235677	Crescent City	CA	95531	41.753561	-124.190414	Del Norte	Naomi	Findlay	CFO	707-465-1776	Naomi@C-renner.com	17902	SqFt	15000	Sqft		5171-Petroleum Bulk Stations and Terminals			Elk Creek	N	N	Ron Spitzner	Operations Manager	22-FEB-16 03.57.30.630000 PM	 
